Q1_A,Q1_B1
Strongly in Favour,will improve tourism
Strongly Opposed,High possibilities that more people will become gamblers and addicted gamblers.
Strongly Opposed,"increased costs, both social and monetary, from gambling addiction"
Strongly Opposed,I saw what the casinos did to Niagara Falls firsthand; everything more than 500 metres away from them appeared boarded up.
Strongly Opposed,crime
Strongly Opposed,Somehow it will become a money loser...
Strongly Opposed,social impact
Strongly Opposed,A casino is just another form of taxation
Strongly Opposed,casinos attact people falling into sins.
Strongly Opposed,"Toronto doesn't need a casino.  There's plenty of other entertainment available in our city.  There are many other ways to increase employment in Toronto than building a casino.  If people want to gamble, they can go to the slots at Woodbine, Casino Rama or Niagara Falls."
Strongly in Favour,"A world class city without at least one Casino is unheard of.  Go to London, Rome, Paris etc and tell me if there are casinos."
Strongly Opposed,i oppose all casinos
Strongly Opposed,Increase in gambling addiction
Strongly Opposed,discourage gambling
Somewhat Opposed,inappropriate land use in downtown core
Strongly Opposed,"Destruction of local businesses, and the economy of the area it occupies"
Somewhat in Favour,Toronto needs money
Strongly Opposed,Casino will lead our city to a dagerous way!
Strongly Opposed,degrading to the population
Neutral or Mixed Feelings,Concern about creating an economic dead zone around the casino
Somewhat Opposed,Loss of revenue for other local businesses
Strongly in Favour,I think a casino at woodbine racetrack would make great gaming place for all forms of gambling.
Strongly Opposed,this is an unimportant addition to the city - many other priorities should come first!
Strongly Opposed,to be a world class city rather than a Las Vegas casino city - the two are not in the same class
Strongly Opposed,Not good thinking it never bring any profit
Strongly Opposed,Casino provide facility for people to gamble which is a major cause of family problem.
Strongly Opposed,"Easier access to casinos will increase the likelihood of individuals engaging gambling, especially problem gamblers."
Strongly Opposed,problem Gambling
Strongly in Favour,A new saino will sustain existing jobs at Woodbine and generate new jobs to the city
Strongly in Favour,More revenue for city
Strongly Opposed,Crime rates may increase
Strongly Opposed,bad for the community
Strongly in Favour,idiots will spend their money anyway so let the city benefit not an Indian tribe
Strongly in Favour,
Strongly in Favour,Job Oppurtunity
Strongly Opposed,The people of Toronto already voted on this issue and the response is a resounding no
Strongly Opposed,We don't need a casino in town to bring convenience for people to gamble
Strongly Opposed,Gambling is a serious addiction and should be treated as such - not sanctioned by government.
Strongly Opposed,the cost to build the new casion would be more than to expand the existing.
Strongly Opposed,We already have a Casino in Toronto - Woodbine
Strongly Opposed,Lead to more people addict in gamble
Strongly in Favour,City of Toronto needs money to build subways
Strongly Opposed,gambling is a tax on the poor and the stupid
Strongly Opposed,Negative Impact on Surrounding Businesses
Strongly in Favour,to bring funds to toronto
Strongly in Favour,Bring revenue to the city of Toronto.
Strongly Opposed,It preys on the weakest segments of society
Somewhat in Favour,jobs
Strongly Opposed,downtown Toronto is a currently a hip and also residential community which would be negatively altered by the addition of a casino which would fundamentally alter the character of the city
Strongly Opposed,A casino will hurt those who can least afford to lose their money.
Strongly in Favour,Bring new business to toronto
Somewhat Opposed,Will take away patrons from other existing casinos
Somewhat Opposed,gambling adiction is not addressed
Strongly Opposed,Impact on adjacent communities.
Strongly Opposed,crime issues
Strongly Opposed,won't bring in money promised - will just take revenues out of other entertainment
Strongly Opposed,Increase crime
Strongly Opposed,"It will ruin the downtown core, cause more traffic, and more jobs lost. For the 30 thousand jobs you take out only 10 thousand come back, so we are loosing 20 thousand jobs for the people of toronto to gamble money most dont have. doesnt make sence to me"
Strongly in Favour,bring revenue to the city
Somewhat in Favour,"Great economic benefit, but only outweighs other issues if located at Woodbine"
Strongly Opposed,Should be in Scarborough
Strongly Opposed,"Under an urban intensification scheme, there are much better infill development options for this valuable land that will contribute to a stronger, more connected social fabric.  We need to use this land wisely! Gambling is a solitary activity that often leads to isolation; we should provide venues that encourage social networking and that bring all citizens together - not drive them further apart."
Somewhat in Favour,Faith that the municipal government can negotiate a good contract
Somewhat Opposed,I don't want the waterfront green spaces to be turned into casino trash
Strongly in Favour,a new casino will sustain existing jobs at Woodbine and generate new jobs to the city
Somewhat in Favour,Will bring revenue and jobs to the City
Strongly Opposed,"There are many alternative uses for the space, such as green space, that would allow all citizens to participate in the use of the space"
Strongly in Favour,This casino is already in Toronto and it is a fabulous facility used by my friends and family's all the time
Strongly Opposed,"Casinos create or enable gamblers, who suffer from a horribly debilitating addiction that ruins their and their families' lives."
Strongly Opposed,Social Consequences
Strongly Opposed,Not the right vibe for Toronto.
Strongly Opposed,Encourages and promotes gambling.
Somewhat Opposed,don't approve of gambling
Strongly in Favour,Increased city revenue
Somewhat in Favour,economic benefits
Strongly Opposed,Casino will destroy a neighborhood
Strongly Opposed,will destroy local businesses & neighbourhoods
Strongly in Favour,Increase city's revenue
Strongly Opposed,people who can ill afford it will be hurt
Strongly Opposed,"taking out 30,000 jobs to only give back 10,000 does not make sense........"
Strongly in Favour,Great Revenue
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and generate new jobs to the city.
Somewhat Opposed,"Casino more socially detrimental than positive, particularly to surrounding neighbourhoods - though this means less detrimental in some locations than others"
Somewhat in Favour,
Strongly in Favour,it is time to grow uup cinos are everywhere inclding on the internet. Downtown/waterfront old help the economy nd nightlife in Toronto
Strongly Opposed,problems with gambling and addiction
Strongly Opposed,Cost for set up
Strongly Opposed,It doesn't produce real wealth
Strongly in Favour,The Revenue generated from a casino would assist with the repair to the infrastructure faster than any other method.
Strongly Opposed,most jobs created will only be minimum wage
Strongly in Favour,enjoy gambling
Somewhat Opposed,enough with the gambling already - moral issue
Strongly Opposed,A gambling Casino does not fit my idea of Toronto. Gambling some times produces unwelcome side effects such as addictions and criminality.
Strongly Opposed,NEGATIVE IMPACT IN THE POPULATION
Neutral or Mixed Feelings,No
Strongly Opposed,Attracts an increase in criminal elements to the city
Strongly Opposed,casino are negative influence to society
Strongly Opposed,problems with gambling addiction
Strongly Opposed,social and crime concerns
Strongly Opposed,"social ills - gambling addictions are real, negatively impact families, children, marriages, economy"
Strongly Opposed,Encourages gambling which is a vice.
Strongly Opposed,"it would intice young people to try gambling, which could become addictive"
Strongly in Favour,I think the city could use the addittional revenue from hosting a casino
Strongly in Favour,entertainment
Strongly Opposed,"I do not think Toronto should be promoting gambling, it is risky on many levels. (Do not feel we should forbid gambling, just not promote it.)"
Strongly Opposed,a casino encourages addictive behaviour (gambling)
Strongly in Favour,"New jobs from the construction of the facility, at the casino and the spinoff to hotels/restaurants in the area"
Somewhat Opposed,it might jeopardize the future of horse racing in ontario
Strongly Opposed,
Strongly Opposed,There is no agreement between the city and the province (OLG) about the range of hosting fees the city would receive.
Strongly Opposed,Toronto does not need a casino to remain a tourist destination
Strongly Opposed,Negative to city image
Neutral or Mixed Feelings,Negative social impact to addiction to gambling
Somewhat in Favour,Revenue generation for city
Strongly Opposed,"While a casino may create jobs, I am not convinced the so called financial benefits to the City are obtainable."
Strongly Opposed,Detracts rather than adding to Toronto's attractions
Strongly Opposed,Not a benefit to Toronto
Strongly Opposed,I am opposed to promoting gambling
Strongly Opposed,taking advantage of gambling addictions
Strongly Opposed,"Many people would spend beyond their means, thus creating a negative cascade of effects (bankruptcy, divorce, welfare, etc.)"
Strongly in Favour,"Brings money into local economy rather than locals going to Rama, Niagara, etc."
Strongly Opposed,Not suitable for a downtwn environment
Strongly Opposed,"The province of Ontario already derives enough proceeds from ""gaming"", 649/scratch ticks/Bingo/Online gaming/casinos, there is a limited amount of disposable income in ANY situation, the Liberals should NOT be exploiting Ontarians further."
Strongly Opposed,taking advantage of gambling addictions that can impact families negatively
Neutral or Mixed Feelings,Woodbine already works as a location for safe and responsible gaming
Strongly Opposed,Public health; financial issues regarding public players
Strongly Opposed,negative influence on youth
Strongly Opposed,societal impact such as addiction and resulting pressure on families as well as negative impact on casino employees
Strongly Opposed,Will provide a venue for increased gambling addiction
Strongly Opposed,neighbourhood degradation
Strongly in Favour,location
Strongly Opposed,"Casinos contribute to and bring social problems, such as increases in gambling addiction, drinking and drugs."
Strongly Opposed,"Alantic City, Niagra Falls and Windsor. All three are economically depressed and the casinos have added any value economicallly"
Strongly Opposed,this is a tax on the poor
Strongly Opposed,Causes social and health problems
Strongly in Favour,Provide tourism entertainment
Strongly Opposed,It is the wrong priority for economic development and for generating money for the city - it's bad money and bad policy.
Strongly Opposed,social and health impacts
Strongly Opposed,I don't want my taxes to go up to service it.  Police budget would go through the roof.
Strongly Opposed,"A casino encourages things I do not want to see in my city: addiction, family dysfunction, ugly buildings, diversion of entertainment dollars from existing Toronto businesses."
Strongly Opposed,More people will be more tempted to lose their money and will be in great debt.  Does not help economy.
Strongly in Favour,Torontonians travel to other casinos - this will give them an 'at-home' option for supporting our City's economy
Strongly Opposed,Already have a casino at Woodbine
Strongly Opposed,It promotes gambling
Strongly Opposed,crime
Strongly Opposed,No suitable site
Strongly Opposed,I do not want gambling to be enabled. It destroys individuals and families
Strongly Opposed,Increase in vehicle and pedestrian traffic
Strongly Opposed,Not enough economic benefit
Strongly Opposed,"It takes money and space away from Toronto restaurants, small businesses and theatres.  Do not destroy the parks and street life that we have in the downtown."
Strongly Opposed,too many gaming sites
Strongly Opposed,Government is prepared to wipe out the Ontario horse racing industry to further its objective of getting a casino that will probably involve profit to a foreign interest
Strongly Opposed,"casinos are sometimes a ""tax"" on people who can't afford it"
Strongly Opposed,Gambling contrary to the image of Tornoto as a world class city.  New Jersey and Las Vegas not the image of Toronto I want.
Strongly Opposed,a casino is unfair taxation
Strongly in Favour,Economic Growth
Somewhat in Favour,increase revenue for Toronto
Neutral or Mixed Feelings,areas around casinos become rundown
Strongly Opposed,"we need to live in a livable city - that means families and communities downtown, that's not a casino"
Strongly Opposed,
Strongly Opposed,"I think money obtained from casinos is immoral. Gambling is harmful to people and businesses in the area. If  money is needed for the community, raise it by other means, such as taxes."
Strongly in Favour,economic boost to the city
Strongly Opposed,gambling exploits the weaknesses of those who are most financially vulnerable
Strongly Opposed,"The fact Canada is the world's largest consumer of Rx psychoactive medications suggest a wide range of Torontonians are in some way affected by emotional pain and as a result  are prone to suffering degrees of addictive behaviours. As casinos appeal to addictive personality types, the city's sanctioning of a gambling casino will aggravate and compound the welfare costs that studies have shown this mental pain epidemic  is already causing tax payers."
Strongly Opposed,Worry over increased criminal activity in the city and encouraging those suffering from gambling addictions
Somewhat in Favour,Rather have the benefits of gaming accrue locally than have citizens gamble elsewhere
Strongly in Favour,Providing temporary construction jobs and long term permanant jobs for Torontonians
Strongly Opposed,"Other ""World Class"" cities (New York, Chicago, London) do not casinos within city boundaries"
Strongly Opposed,Traffic congestion
Strongly in Favour,Creates jobs
Strongly Opposed,
Strongly in Favour,keep entertainment close in proximity
Strongly in Favour,Jobs
Strongly Opposed,"A new casino will lead to more gambler addicts, especially when its location is downtown Toronto"
Strongly Opposed,Social impact will be negative...increase poverty among those already disadvantaged
Strongly Opposed,Risk is too high  individuals who will develop a dependency on gambling impacted themselves and their loved ones
Somewhat in Favour,Adds entertainment option
Strongly Opposed,impact on persons addicted to gambling and therefore impact their livelihood
Strongly in Favour,I feel that a casino in teh GTA would be good as currently there isn't any in central Toronto
Somewhat Opposed,I do not believe that a casino will be a net gain for the city
Strongly Opposed,the government of canada is already palying with everyone issuing new dollarbills on a ranom basis thus eleleminating any legetimacy for the notes and amking a joke of peoples har work - we should not have more casinos alreay my life has been made a casino life of the roayl mint
Strongly Opposed,"Ontario Place was a family destination and if that's the planned building site, you should consider making that area a family destination again, which a casino is NOT"
Strongly Opposed,Grambling is not a suitable way to solve our problem.
Strongly Opposed,Inappropriate use of land
Strongly Opposed,Cost
Strongly Opposed,"Negative social consequences (addiction, poverty, suicides)"
Somewhat Opposed,"the ""pro"" is that this may be a new source of income and new work places for the city lowering the pressure of increasing taxes"
Strongly Opposed,useless
Strongly Opposed,gamble is very bad
Strongly Opposed,Gambling is a non-productive and often addictive waste of time and money.
Strongly Opposed,it is a depressing industry.
Strongly in Favour,Job creation
Strongly Opposed,Casinos prey on people who are can least afford gambling and are prone to addiction.
Strongly Opposed,Creates primarily low-income jobs
Strongly in Favour,
Strongly Opposed,Gambling has a negative impact on any society
Strongly Opposed,Casino DOES NOT increase tourism.  Tourists come to Toronto because of the culture events such as Film Festival...not the crap tables.
Strongly Opposed,City financial benefit continues to decline in dollars
Strongly Opposed,Canadian casinos are a boom for the management companies that run them and are a drain on the social services and economies they are built in.  They are a loose loose proposition.
Strongly Opposed,"costs (monetary, social, living, etc.) do not outweigh questionable benefits"
Strongly Opposed,placing it in a city centre is easy accessibility for people with addictions
Strongly in Favour,Tourism
Somewhat in Favour,I like gamble once in awhile but within moderation.
Strongly Opposed,"toronto should not have casino, we can have other kind of facility."
Strongly Opposed,slowly bring security problem and can never be solved
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and also generate new jobs in the city
Strongly Opposed,"way way more negatives , than any possible positives"
Strongly Opposed,"Gambling is generally a tax on the poor, and preys on desperation."
Strongly Opposed,We have sufficient major attractions in Toronto.  As well as We have enough sources to feed a multitude of addictions in Toronto.
Strongly Opposed,I think it is not the right solution to fix the over spending of the liberal government. It feeds on the young and elderly.
Strongly in Favour,Raise money for subway
Strongly Opposed,"new casino can bring more tax to the city and wealth to someone. However, how to deal with the crimes, the problems related such as broken families caused by gambling, how to educate kids... the money you earn won't cover it. don't be short sight."
Strongly Opposed,I do not think that city would benefit from casino in downtown core.
Strongly Opposed,"Health Effects for problem gambling - not only for the people with the problem, but their families, friends employers, the social safety net etc."
Strongly Opposed,not worth the time debating. we have serious issues to deal with in this city and now we are wasting it discussing this distraction
Strongly Opposed,Casinos are a tax on the people who can least afford it
Strongly Opposed,Ruins individuals as well as families.
Strongly Opposed,Cause negative social issues.
Strongly Opposed,not in favour of the whole community due to its long term affects on the scoiety.
Strongly Opposed,"the olg expansion of gambling and the provincial governments increasing practice to solve debt crisis and overspending through gambling is an insult to ontario families. the olg does not encourage ""responsible gambling"" but rather spends thousands promoting reckless and addictive behavior as a means to ""realize your dreams"".  the olg has shown the ontario taxpayers they will lie, misrepresent or take advantage of charitable minded people to achieve their goals and fill their pockets. They DO NOT represent the values of hard working ontario families!"
Strongly in Favour,Playing games in casino is part of my life.
Strongly Opposed,
Strongly Opposed,"Casinos are like black holes, sucking revenue from other entertainment venues in the area."
Somewhat Opposed,Concerns about effect on local business
Strongly Opposed,casinos encourage gambling
Strongly Opposed,"Will take away from existing Toronto businesses i.e. theatres, restaurants, hotels, etc. and already established casinos nearby i.e. Rama"
Somewhat in Favour,Income for the governments.
Strongly Opposed,Increased crime
Somewhat in Favour,Casino will bring revenue to the city
Strongly in Favour,people in Toronto deserve a casino
Neutral or Mixed Feelings,"On the one hand, it will create more jobs and revenue for the city; on the other hand, it may also lead to an increase in crime rates and need and use concurrent disorder/addiction/gambling social services straining budgets that are already being strained"
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and generate new jobs to the city
Strongly in Favour,It will be built in the Toronto area and if not it Toronto we will lose the revenue and still have the same social problems
Strongly Opposed,"Cityplace is the closest neighbourhood of 30,000 people. We cannot handle the additional traffic into this casino"
Strongly Opposed,takes money away from local businesses
Strongly Opposed,Do not see how a casino would benefit the city of Toronto culturally
Strongly in Favour,Added revenue to the city.
Strongly in Favour,Because the casino in Orillia is too far away.
Strongly in Favour,will bring in needed revenue
Strongly in Favour,Bring in Revenue
Strongly Opposed,gambling cause more crime in society
Strongly Opposed,There are already enough casinos around for those who wish to gamble.
Strongly Opposed,There are so many better ways to generate revenue. E.g. Property Tax increases.
Strongly Opposed,It is fundamentally wrong to promote gambling as a source for support of necessary public services.
Strongly Opposed,"There was already a referendum on this in 1997 and I was one of 70% of residents voting against it, respect the process!"
Strongly Opposed,It will be harmful for city's value and create social problems and criminals
Strongly Opposed,"thr patrons of casinos will not be clients of existing arts and entertainment and  will not significantly patronize existing restaurants, therefore will detract form the cultural attractions"
Strongly Opposed,Please see my response to question Q2b below.
Neutral or Mixed Feelings,I am not a gambler but better to have it out in public and controllable rather than hidden
Somewhat in Favour,revenue generation for critial city projects and initiavtives
Strongly Opposed,"traffic, social concerns"
Strongly Opposed,
Strongly Opposed,Parking
Strongly Opposed,"Health and social impacts, parking and traffic issues, competes with other forms of entertainment and culture"
Strongly Opposed,
Strongly Opposed,"traffic congestion as people travel into the city from elsewhere.  Traffic congestion is already terrible, this will just add to it."
Strongly in Favour,It creates much needed jobs for the middle class through the construction phase
Strongly Opposed,Difficulties for people living in the area - especially youth
Strongly Opposed,"A Casino will severely negatively affect now forming downtown neighbourhoods, affecting market values negatively"
Somewhat in Favour,we need more jobs in toronto
Strongly in Favour,Woodbine Slots generate more net revenue than any other gaming venue in Ontario.
Strongly Opposed,Increase in crime rate
Somewhat in Favour,Feel that current facility at Woodbine is some what adequate but more types of gaming other than slots are necessary
Strongly Opposed,
Strongly Opposed,"the true economic benefit once ALL relevant costs are considered (e.g. addiction, policing, etc) remains highly contentious"
Strongly Opposed,Crime
Strongly Opposed,social costs i.e. gambling addiction
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and generate new jobs to the City.
Strongly Opposed,Addiction
Strongly Opposed,"will encourage gambling, debt, drinking, neglect of family"
Strongly Opposed,Philosophically opposed to government sponsored gambling
Somewhat Opposed,I think the disadvantages of this in my neighbourhood far outweigh any advantages.
Strongly Opposed,Brings in a gambling culture in Toronto
Strongly Opposed,not good for individuals
Strongly Opposed,"Evil spirits!!! Ganbling only benefit stakholders, avaricious Government officials. More crimes, more killings, more tax payers money will have to be spent on Social orders/securities etc.;"
Strongly Opposed,Casino bring on a negative culture that I don't think would benefit Toronto and its' residents in any way.
Strongly Opposed,"It is against all social norms, moral behaviour & etiquette of a good healthy & family oriented society"
Strongly Opposed,Arts organizations and supporting the arts are more revenue generating and enriching to city as whole
Strongly Opposed,Traffic and Parking
Strongly Opposed,i'm a Canadian
Strongly in Favour,IT WILL BE INSRUMENTAL IN INCREASING TOURISM FOR THE CITY & WILL PROVIDE A SIGNIFICANT REVENUE STREAM FOR THE CITY
Strongly Opposed,
Strongly Opposed,Not a lot of rich persons play casino.
Strongly Opposed,Can affect the next generation in a negative influence
Strongly Opposed,Negative impacts on existing businesses and infrastructure (particularly transportation infrastructure)
Strongly Opposed,"letting go of guaranteed 1 billion+/year from SARP partnership in favor of ""potential"" 50-100 million from casino doesn't add up."
Strongly Opposed,Gambling can become an addiction for some and ruin lives and families. We want to remain Toronto the Good.
Strongly Opposed,"gainst all social norms, moral behaviour & etiquette of a good healthy & family oriented society"
Strongly Opposed,Health and social effects of gambling
Strongly Opposed,"Casino countersweights all efforts thru our taxes to build strong schools, communities.  Our $ to uplift society, not sink it."
Strongly Opposed,It is wrong to benefit from the troubles of so many for whom gambling becomes an illness.
Neutral or Mixed Feelings,I think casinos present social ills for which there are not ample or excellent solutions
Strongly Opposed,"concerned about health issues that may arise, i.e. addictions, mental health"
Strongly Opposed,"I have seen my friends being addicted to gambling, building it in their backyard only makes matters worse"
Strongly Opposed,Casinos are not suitable in a city environment they belong at adult resorts
Strongly Opposed,traffic
Strongly Opposed,It is going to provoke gambling
Strongly Opposed,Increase social harm
Somewhat Opposed,"Casinos outside of the GTA require substantially more effort to play which reduces problem gamlbers access to these facilities. When I was in my early 20s, I remember wasting my last pay cheques on trying to win back my loses. Trying to receive more of the the $400 million of GTA residents to spend that money inside the city limits is not justification for increasing the problem gamblers in Canada's most populous city."
Strongly Opposed,"U.S. owned casinos will take 30% or more of all moneys gambled, plus all profits from hotels,food/bev./entertainment."
Strongly Opposed,gambling addition
Strongly Opposed,the crime rate would increase for sure
Strongly Opposed,Links to organized crime.
Strongly Opposed,It will have a negative impac on the city!  Crime /prostitution/Money Laundering and drugs
Strongly in Favour,Well paying jobs
Strongly in Favour,Because real cities have casinos
Strongly Opposed,Gambling does not generate any mental well-being in any person
Strongly Opposed,we do not want to raise our family with small children with a casino in our back yard.
Strongly Opposed,"Any new casino will bring net social harm (including wasted savings, destroyed homes and marriages, and suicides)"
Strongly in Favour,It would add   another  form  of  entertainment  in  the  city
Strongly Opposed,Potential social problems
Strongly Opposed,Crime
Strongly in Favour,Increased revenue for the city
Strongly in Favour,People go to Niagara and Rama and Windsor to gamble why not stay home
Strongly Opposed,Seediness to casinos  inappropriate to our city's character
Strongly Opposed,It will drive business away from all other surrounding businesses
Somewhat in Favour,Slots at tracks complete failure
Somewhat in Favour,Source of employment
Strongly in Favour,I think it will provide jobs.
Strongly Opposed,"harmful, people who become adicted to gambling lose all they have including mental and physical health"
Neutral or Mixed Feelings,Already have Woodbine Raceway - build the casino there.
Strongly Opposed,Negative neighborhood influence on a social level
Strongly Opposed,It will decrease public space
Strongly Opposed,Overhyped economic benefits
Strongly Opposed,Negative effects on local business
Strongly Opposed,Take money from those who can least afford to spend it
Strongly Opposed,
Strongly Opposed,
Strongly Opposed,See Q9
Somewhat in Favour,"I think that it could bring good economic activity to the city and province, if run/used correctly."
Strongly Opposed,"I dont want people to lose thier money in gambling, which is ediction and is more than a game."
Strongly in Favour,Support local community
Strongly Opposed,Will attract more crime in general
Strongly Opposed,"Casino will take away dollars from other cultural institutions, restuarants, events etc considering there's only so much disposal income."
Strongly Opposed,"Socio-economic impact on the people of Toronto (increased accessibility to gambling facility has very negative consequences on low SES residents, gambling addicts, etc)"
Strongly Opposed,the greed and averice gambling fosters is soul destroying and community destroying
Strongly Opposed,"I don't feel that a casino is something we need in Toronto - the negatives, in my mind, outweight any potential positives"
Strongly Opposed,"Toronto is already too congested, adding a casino would create even more congestion for local residents"
Strongly in Favour,Casino will not be in a residentul area
Strongly in Favour,Bolsters the city as a tourist destination
Strongly Opposed,creates financial hardship for families especially in low or medium income brackets of income
Somewhat in Favour,Increased jobs
Strongly Opposed,"Gambling brings about a lot of problems to individuals, families and communities that need money to resolve the problems"
Strongly Opposed,"Concern for negative impact on the whole city, immediate neighbourhood and potential gambling adicts."
Strongly in Favour,entertaing
Strongly Opposed,Leave the slots at the race tracks!
Strongly Opposed,Gambling is an individually and sociatally harmful activity that governments should not assist or encourage.
Strongly Opposed,People can easily get addicted to gambling.
Strongly in Favour,"Casino is not in a residentul area, has plenty of parking and is approachable from all directions"
Strongly Opposed,We don't require more gambling establishments. We already have the Woodbine race track facility.
Strongly Opposed,too ciongested
Strongly Opposed,"Do not feel that a casino is needed, will not provide the econmic boost that everyone says it will."
Strongly in Favour,Increased # of visitors/revenue to Toronto
Somewhat Opposed,"People have a certain amount of money for entertainment, casinos may take that revenue stream away from theaters and other venues that make Toronto a world class city"
Strongly Opposed,
Strongly Opposed,i never heard a gambler has a happy family and life.
Strongly Opposed,It will just extract money from the local economy and send it to a foreign entity.
Strongly Opposed,attract and increase crime in the city
Strongly in Favour,Revenue for Toronto government
Strongly in Favour,I believe it would draw tourists to Toronto
Strongly Opposed,"The proven risks of having a casino in a densely populated area: risk to people living with gambling addition, increase crime and policing costs"
Strongly Opposed,I do not want to attract or promote gambling addictions in Toronto
Strongly Opposed,
Strongly Opposed,Negative impact on city image
Strongly Opposed,There is no place where Casino gambling has decreased criminal activity and corruption. The reverse is in fact the case
Neutral or Mixed Feelings,Don't gamble
Strongly in Favour,Increase in tax revenue
Somewhat Opposed,separating people form their money
Strongly Opposed,social and quality of life considerations
Strongly Opposed,"It would hurt existing local entertainment attractions, theater, etc."
Strongly in Favour,Injection of new revenues to city of Toronto
Strongly Opposed,"A casino will derive revenue primarily from Ontarians, primarily from those with gambling dependency.  This is extremely regressive and has a whiff of desperation."
Neutral or Mixed Feelings,Casino can increase revenue to teh city bit it is worrisome that more poepl will go gambling becasue it is convenient
Strongly Opposed,I believe it undermines the integrity of a community.
Strongly Opposed,Traffic
Neutral or Mixed Feelings,CAMH
Strongly in Favour,
Strongly Opposed,DO NOT BELIEVE IN GAMBLING AS A FORM OF TAXATION OR REVENUE.
Strongly in Favour,"The city could use the revenue for so many programs, why let Innisfill and Niagara Falls get it all."
Strongly Opposed,The impact on families and social structures when parents are drawn to gambling and become out of control
Strongly in Favour,Jobs
Strongly Opposed,It will cause addiction to gambling so that people will waste away their hard earned wages
Strongly Opposed,
Strongly Opposed,I believe it undermines the integrity of a community.
Strongly in Favour,Jobs
Strongly Opposed,Gambling is an addiction and should not be promoted anywhere.
Strongly Opposed,degrades City core - internalized nature of casino will not support nearby businesses and detract from City street life
Strongly Opposed,Making immense profits by exploiting human weakness is immoral.
Strongly Opposed,Poor social impacts. Negative social contribution.
Strongly in Favour,"Economics, job opportunities, Revenue to Government"
Strongly Opposed,The negative effects on individuals and communities greatly outweigh any economic benefits.
Strongly Opposed,Gambling is harmful to many people.  Seems wrong in principle for the city to be supporting it.
Strongly Opposed,my mom struggles with gambling and has lost everything
Strongly in Favour,Other municipalities are getting the advantage of revenue which our city is missing out on
Somewhat in Favour,"Seemingly it makes the City more prosperous and lively, but I am concerned somehow about its social effects."
Strongly Opposed,
Strongly Opposed,Increased Traffic
Strongly in Favour,A casino can act as a means to expand Toronto's revenue base without raising taxes on individuals.
Strongly Opposed,"Adolescent gamblers were more likely than adolescent nongamblers to report alcohol and drug use and abuse/dependence and depression. Elevated rates of alcohol and drug use and abuse/dependence were observed in early-onset adult gamblers vs. adult nongamblers, and only elevated rates of alcohol use were observed in adult-onset gamblers vs. adult nongamblers."
Strongly Opposed,vulnerable groups (the poor) are desperate for money and might be encouraged to gamble money they can't afford.
Strongly Opposed,Family man
Strongly in Favour,Toronto needs more attractions from entertainment and despereately need revenue for public transit system.
Somewhat Opposed,traffic and impact on public space
Somewhat in Favour,It can help make Toronto a world city.
Strongly Opposed,because our young will lose time and money. It also destroys family if you see it logically
Strongly Opposed,Decay of urban area around casino
Strongly Opposed,"Toronto is not a Las Vegas. Just look at the prosperity it bought to Windsor, none, in fact it degraded the down town area."
Strongly Opposed,It's easy accessabilty will encourages people with insufficient means to gamble.
Strongly Opposed,Concerns for small business
Somewhat Opposed,
Strongly Opposed,gambling addictions
Strongly Opposed,
Strongly in Favour,Economic development
Strongly Opposed,great cities are not build on gambling; it's a lowest common denominator approach to economic development
Strongly in Favour,TAX BENEFITS
Strongly Opposed,Easy access and a source of temptation for those who struggle with gambling.
Strongly Opposed,"I live in downtown Toronto and do not want to have more problems associated with parking, noises, quality of life"
Strongly Opposed,gambling is the worst thing that can happen to people especially those that are on the lower income level who are more prone to gambling thinking that they can get rich quick. a fact in a study in the Journal of Behavioral Decision Making.
Strongly Opposed,There are enough casinos in Ontario.
Strongly Opposed,I don't think we need to provide any more opportunities for people to gamble
Strongly Opposed,The gap between rich and poor is growing.  Gambling gives false hope to those who can least afford it.
Strongly Opposed,Moral opposition to gambling
Strongly Opposed,we Have enough access to several casios with one hour of Toronto
Strongly Opposed,We don't need to encourage more gambling. It's a drain on the people that can least afford it.
Strongly in Favour,LESS PROPERTYTAX INCREASES
Strongly Opposed,New casino will lead to more at-risk gamblers and more addicted gamblers.
Strongly Opposed,Social ramification
Strongly in Favour,"The majjority of the people who go to Rama , Niagara etc. from the Toronto area therefore money that can be staying here to help is going elsewhere."
Somewhat in Favour,Negative social impacts will still be present even if it is Mississauga  or Markham
Strongly in Favour,Crerate Jobs
Neutral or Mixed Feelings,Revenue
Strongly in Favour,Jobs
Somewhat Opposed,Concerned about the negative impacts that gambling establishments have - crime and addiction
Strongly Opposed,"toronto the good has become toronto the greed -- surrounding communities will be negatively affected, negative for family life, child and youth development"
Strongly Opposed,social problems that it will create or increase
Strongly Opposed,Detrimental to vulnerable populations.
Strongly Opposed,"It's  gettinag 'something for nothing"""
Strongly Opposed,"we should be supporting industries in our city that will help us grow as a healthy society, not just drain pocketbooks"
Strongly Opposed,Gambling should never be promoted.
Somewhat Opposed,"Don't see what good it does for the city's finances; we can get that meagre yearly revenue from other, better sources"
Neutral or Mixed Feelings,"Its location, location, location is key."
Strongly in Favour,A new casino will sustain existing jobs at Woodbine
